source_url,source_context,status,destination,final_destination,hops,internally_linked,in_sitemap,canonical_target,expected,severity,finding
https://www.expatcopilot.com/netherlands/mortgage-netherlands-expats,redirect_inventory,308,https://www.expatcopilot.com/netherlands/housing/mortgages-netherlands-expats/,https://www.expatcopilot.com/netherlands/housing/mortgages-netherlands-expats,2,no,no,https://www.expatcopilot.com/netherlands/housing/mortgages-netherlands-expats/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/money/tools/expat-cost-of-living-calculator,redirect_inventory,308,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator,2,no,no,https://www.expatcopilot.com/netherlands/money/tools/cost-of-living-calculator/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/moving,redirect_inventory,308,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands,2,no,no,https://www.expatcopilot.com/netherlands/moving-to-the-netherlands/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/uk,redirect_inventory,308,https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/united-kingdom/,https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/united-kingdom,2,no,no,https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/united-kingdom/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from,redirect_inventory,308,https://www.expatcopilot.com/netherlands/moving-to-netherlands-from/,https://www.expatcopilot.com/netherlands/moving-to-netherlands-from,2,no,no,https://www.expatcopilot.com/netherlands/moving-to-netherlands-from/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/us,redirect_inventory,308,https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/united-states/,https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/united-states,2,no,no,https://www.expatcopilot.com/netherlands/moving/moving-to-netherlands-from/united-states/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/permanent-residence-netherlands,redirect_inventory,308,https://www.expatcopilot.com/netherlands/citizenship/permanent-residence/,https://www.expatcopilot.com/netherlands/citizenship/permanent-residence,2,no,no,https://www.expatcopilot.com/netherlands/citizenship/permanent-residence/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/moving/tools/residence-permit-timeline-estimator,redirect_inventory,308,https://www.expatcopilot.com/netherlands/visa-timeline-estimator/,https://www.expatcopilot.com/netherlands/visa-timeline-estimator,2,no,no,https://www.expatcopilot.com/netherlands/visa-timeline-estimator/,yes,INFO,expected: next_config_permanent_redirect
https://www.expatcopilot.com/netherlands/moving/tools/document-readiness,redirect_inventory,308,https://www.expatcopilot.com/netherlands/document-readiness-checker/,https://www.expatcopilot.com/netherlands/document-readiness-checker,2,yes,no,https://www.expatcopilot.com/netherlands/document-readiness-checker/,yes,P2,internal_link_targets_redirect_alias (config redirect)
https://www.expatcopilot.com/netherlands/moving/tools/visa-eligibility-checker,redirect_inventory,308,https://www.expatcopilot.com/netherlands/visa-checker/,https://www.expatcopilot.com/netherlands/visa-checker,2,no,no,https://www.expatcopilot.com/netherlands/visa-checker/,yes,INFO,expected: next_config_permanent_redirect
